Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
870,Soccer,NES,5,Sports,Nintendo,15,23,129,2,20
800,Metal Gear Solid: Peace Walker,PSP,30,Action,Konami Digital Entertainment,36,41,88,25,33
381,Guitar Hero: On Tour,DS,28,Misc,Activision,200,100,1,35,162
632,Twisted Metal 2,PS,16,Racing,Sony Computer Entertainment,201,25,0,7,68
382,Assassin's Creed: Unity,XOne,34,Action,Ubisoft,213,88,0,30,161
491,WarioWare: Smooth Moves,Wii,26,Puzzle,Nintendo,77,105,67,26,115
119,Gears of War 2,X360,28,Shooter,Microsoft Game Studios,323,181,6,64,336
902,PaRappa The Rapper,PS,16,Misc,Sony Computer Entertainment,22,16,125,3,16
251,The Elder Scrolls IV: Oblivion,X360,26,Role-Playing,Take-Two Interactive,258,104,13,40,231
524,Imagine: Fashion Designer,DS,27,Simulation,Ubisoft,122,118,0,30,104
10,Duck Hunt,NES,4,Shooter,Nintendo,396,62,27,47,438
197,Resident Evil 5,PS3,29,Action,Capcom,185,141,98,65,273
604,Madden NFL 13,PS3,32,Sports,Electronic Arts,200,23,0,22,79
82,Pokemon Black 2/Pokemon White 2,DS,32,Role-Playing,Nintendo,263,175,188,43,369
785,Dynasty Warriors 4,PS2,23,Action,Tecmo Koei,53,21,103,13,35
588,Super Mario All-Stars: Limited Edition,Wii,30,Platform,Nintendo,92,51,84,14,83
799,Battlefield: Hardline,PS4,35,Shooter,Electronic Arts,60,92,14,32,33
240,Pitfall!,2600,1,Platform,Activision,325,24,0,5,239
291,God of War II,PS2,27,Action,Sony Computer Entertainment,218,4,4,126,208
212,Madden NFL 06,PS2,25,Sports,Electronic Arts,313,26,1,66,263
719,Madden NFL 12,PS3,31,Sports,Electronic Arts,182,15,0,17,49
360,Croc: Legend of the Gobbos,PS,17,Platform,Fox Interactive,147,170,0,20,169
450,FIFA 15,X360,34,Sports,Electronic Arts,68,191,0,30,131
228,The Lord of the Rings: The Two Towers,PS2,22,Action,Electronic Arts,183,184,8,70,249
952,Air Combat,PS,15,Simulation,Sony Computer Entertainment,82,33,48,5,7
948,Jet Moto,PS,16,Racing,Sony Computer Entertainment,123,39,3,7,7
798,The Sims 2: Pets,DS,26,Simulation,Electronic Arts,82,93,0,22,33
502,Zumba Fitness 2,Wii,31,Sports,Majesco Entertainment,144,106,0,28,111
465,Tom Clancy's Splinter Cell,XB,22,Action,Ubisoft,174,103,0,13,124
363,Tomb Raider III: Adventures of Lara Croft,PS,17,Action,Eidos Interactive,156,153,12,18,168
469,NBA 2K13,X360,32,Sports,Take-Two Interactive,242,21,1,19,123
937,Jak 3,PS2,24,Platform,Sony Computer Entertainment,123,48,0,3,9
429,Enter the Matrix,PS2,23,Action,Atari,168,111,9,19,138
8,Wii Play,Wii,26,Misc,Nintendo,390,296,183,147,440
156,Tetris,NES,8,Puzzle,Nintendo,267,68,141,11,303
542,The Sims,PS2,23,Simulation,Electronic Arts,131,111,0,24,100
441,FIFA Soccer 08,PS2,27,Sports,Electronic Arts,58,0,0,144,134
483,Hitman 2: Silent Assassin,PS2,22,Action,Eidos Interactive,126,114,4,41,119
423,Killer Instinct,SNES,15,Fighting,Nintendo,213,71,12,10,140
780,Tony Hawk's Pro Skater,N64,20,Sports,Activision,158,39,0,3,35
951,The Orange Box,X360,27,Shooter,Electronic Arts,99,53,2,17,7
335,FIFA Soccer 2005,PS2,24,Sports,Electronic Arts,48,222,4,59,181
577,Midnight Club: Street Racing,PS2,20,Racing,Take-Two Interactive,189,46,2,14,86
936,Mario Party: Island Tour,3DS,33,Misc,Nintendo,51,58,51,11,9
568,Medal of Honor,PS,18,Shooter,Electronic Arts,134,108,0,14,90
595,Ghostbusters: The Video Game (DS Version),X360,29,Action,Take-Two Interactive,94,123,3,27,81
531,WWF SmackDown! Just Bring It,PS2,21,Fighting,THQ,109,114,4,41,102
582,Mario Strikers Charged,Wii,27,Sports,Nintendo,97,105,23,25,85
709,Super Monkey Ball: Banana Blitz,Wii,26,Misc,Sega,97,91,4,24,51
449,Mass Effect 2,X360,30,Role-Playing,Electronic Arts,188,81,3,27,131
454,Borderlands 2,X360,32,Shooter,Take-Two Interactive,178,90,4,24,128
229,Forza Motorsport 4,X360,31,Racing,Microsoft Game Studios,197,192,6,47,248
353,Star Wars: Battlefront,PS2,24,Shooter,LucasArts,182,121,3,44,173
730,The Legend of Zelda: Link's Awakening DX,GB,18,Adventure,Nintendo,90,62,42,13,46
213,LEGO Star Wars: The Complete Saga,DS,27,Action,LucasArts,261,149,0,46,262
80,Halo 2,XB,24,Shooter,Microsoft Game Studios,365,148,5,8,371
149,LittleBigPlanet,PS3,28,Platform,Sony Computer Entertainment,257,193,17,89,310
303,Namco Museum: 50th Anniversary,PS2,25,Misc,Namco Bandai Games,197,133,0,54,200
629,Midnight Club: Los Angeles,PS3,28,Racing,Take-Two Interactive,145,53,5,31,69
779,Borderlands,PS3,29,Shooter,Take-Two Interactive,110,61,0,29,35
507,Madden NFL 13,X360,32,Sports,Electronic Arts,235,16,0,17,109
343,SOCOM: U.S. Navy SEALs,PS2,22,Shooter,Sony Computer Entertainment,235,80,6,24,177
486,SOCOM II: U.S. Navy SEALs,PS2,23,Shooter,Sony Computer Entertainment,210,50,6,15,117
713,Call of Duty 3,Wii,37,Shooter,Activision,109,83,0,23,50
134,Halo 3: ODST,X360,29,Shooter,Microsoft Game Studios,328,133,6,61,322
705,Borderlands 2,PS3,32,Shooter,Take-Two Interactive,95,76,10,36,52
312,Tekken 5,PS2,25,Fighting,Namco Bandai Games,83,183,30,70,194
724,Teenage Mutant Ninja Turtles II: The Arcade Game,NES,10,Action,Konami Digital Entertainment,164,25,21,3,47
630,Final Fantasy V,SNES,12,Role-Playing,SquareSoft,0,0,167,2,69
1,Wii Sports,Wii,26,Sports,Nintendo,398,303,199,154,447
317,Flash Focus: Vision Training in Minutes a Day,DS,27,Misc,Nintendo,77,152,95,35,192
708,Sonic's Ultimate Genesis Collection,PS3,29,Misc,Sega,124,61,0,31,51
548,Pokémon Stadium 2,N64,20,Strategy,Nintendo,92,35,103,23,96
874,Crash Nitro Kart,PS2,23,Racing,Vivendi Games,64,100,0,20,19
533,Mortal Kombat Trilogy,PS,16,Fighting,GT Interactive,187,69,0,11,102
478,Battlefield: Bad Company 2,PS3,30,Shooter,Electronic Arts,123,111,8,45,120
405,Ratchet & Clank,PS2,22,Platform,Sony Computer Entertainment,134,100,53,30,150
173,Assassin's Creed III,X360,32,Action,Ubisoft,277,163,3,44,288
126,Donkey Kong Country Returns,Wii,30,Platform,Nintendo,285,173,93,47,330
395,LEGO Batman: The Videogame,X360,28,Action,Warner Bros. Interactive Entertainment,192,102,0,32,153
421,007: Tomorrow Never Dies,PS,19,Shooter,Electronic Arts,162,131,0,16,141
553,Onimusha: Warlords,PS2,21,Action,Virgin Interactive,89,47,99,14,93
905,Star Wars: The Force Unleashed,Wii,28,Action,LucasArts,104,56,0,19,15
91,Grand Theft Auto: Liberty City Stories,PSP,25,Action,Take-Two Interactive,262,236,23,130,360
941,inFAMOUS 2,PS3,31,Action,Sony Computer Entertainment,95,48,8,23,9
182,Diablo III,PC,32,Role-Playing,Activision,227,200,0,62,281
275,Street Fighter IV,PS3,29,Fighting,Capcom,191,105,54,53,217
897,Need for Speed: Shift,X360,29,Racing,Electronic Arts,63,96,1,22,16
70,Gran Turismo 2,PS,19,Racing,Sony Computer Entertainment,311,254,137,50,379
292,Forza Motorsport 2,X360,27,Racing,Microsoft Game Studios,220,127,3,41,207
132,Kingdom Hearts,PS2,22,Role-Playing,Sony Computer Entertainment,301,119,127,7,324
301,Professor Layton and the Diabolical Box,DS,27,Puzzle,Nintendo,82,169,84,37,202
425,Crisis Core: Final Fantasy VII,PSP,27,Role-Playing,Square Enix,125,59,74,44,139
327,Ratchet & Clank: Size Matters,PSP,27,Platform,Sony Computer Entertainment,130,138,10,86,186
145,Metal Gear Solid 4: Guns of the Patriots,PS3,28,Action,Konami Digital Entertainment,244,166,77,82,313
424,WWF SmackDown! 2: Know Your Role,PS,20,Fighting,THQ,166,120,7,16,140
581,ESPN NFL 2K5,PS2,24,Sports,Sega,204,12,0,36,85
136,Super Mario Sunshine,GC,22,Platform,Nintendo,315,125,79,17,320
451,Dragon Ball Z: Budokai,PS2,22,Fighting,Atari,205,28,51,8,130
165,Super Mario World,GBA,21,Platform,Nintendo,281,110,87,20,295
29,Gran Turismo 3: A-Spec,PS2,21,Racing,Sony Computer Entertainment,366,280,142,108,419
775,Kirby's Epic Yarn,Wii,30,Platform,Nintendo,137,9,42,11,36
194,Call of Duty: Advanced Warfare,XOne,34,Shooter,Activision,281,148,1,38,275
389,Grand Theft Auto 2,PS,18,Action,Take-Two Interactive,103,194,0,22,157
854,Tennis,GB,9,Sports,Nintendo,65,30,82,4,23
170,Final Fantasy XIII,PS3,29,Role-Playing,Square Enix,164,123,142,52,291
707,Paper Mario: Sticker Star,3DS,32,Role-Playing,Nintendo,102,38,59,12,51
141,Gears of War 3,X360,31,Shooter,Microsoft Game Studios,318,156,7,49,316
174,Final Fantasy IX,PS,20,Role-Playing,SquareSoft,152,76,181,14,288
7,New Super Mario Bros.,DS,26,Platform,Nintendo,388,297,219,148,441
747,Hitman: Absolution,PS3,32,Action,Square Enix,49,106,7,45,43
479,The Sims 4,PC,34,Simulation,Electronic Arts,86,164,0,29,120
74,Animal Crossing: New Leaf,3DS,32,Simulation,Nintendo,190,212,211,41,375
912,Madden NFL 09,PS3,28,Sports,Electronic Arts,146,15,0,18,13
815,Need for Speed: ProStreet,X360,27,Racing,Electronic Arts,94,79,1,22,30
239,Madden NFL 2005,PS2,24,Sports,Electronic Arts,324,26,1,8,240
146,Metal Gear Solid,PS,18,Action,Konami Digital Entertainment,279,172,72,24,313
794,Dead Rising,X360,26,Action,Capcom,106,64,8,20,33
235,Luigi's Mansion: Dark Moon,3DS,33,Action,Nintendo,168,137,100,30,243
221,Crash Team Racing,PS,19,Racing,Sony Computer Entertainment,239,152,41,21,255
925,The Legend of Zelda: Oracle of Seasons,GB,21,Adventure,Nintendo,77,51,39,6,10
501,Call of Duty: Finest Hour,PS2,24,Shooter,Activision,141,111,1,24,112
133,Pokémon Crystal Version,GB,20,Role-Playing,Nintendo,237,151,111,94,323
992,Golden Sun,GBA,21,Role-Playing,Nintendo,83,37,38,6,0
776,Project Gotham Racing,XB,21,Racing,Microsoft Game Studios,127,60,5,9,36
186,FIFA Soccer 13,X360,32,Action,Electronic Arts,98,256,3,58,279
42,Animal Crossing: Wild World,DS,25,Simulation,Nintendo,237,257,215,87,407
698,Need for Speed Underground 2,XB,24,Racing,Electronic Arts,128,79,0,10,52
109,Mario Kart 8,WiiU,34,Racing,Nintendo,277,194,110,49,343
589,Streets of Rage,GEN,10,Action,Sega,175,54,11,8,83
57,Grand Theft Auto IV,PS3,28,Action,Take-Two Interactive,337,264,41,124,392
406,Mario Party 9,Wii,32,Misc,Nintendo,105,116,70,24,149
443,Need for Speed III: Hot Pursuit,PS,18,Racing,Electronic Arts,203,85,0,13,132
759,Syphon Filter 2,PS,20,Shooter,Sony Computer Entertainment,140,54,2,8,39
999,Hitman: Absolution,X360,32,Action,Square Enix,58,89,1,17,0
25,Grand Theft Auto: Vice City,PS2,22,Action,Take-Two Interactive,374,283,44,131,423
468,Gears of War: Ultimate Edition,XOne,35,Shooter,Microsoft Game Studios,222,32,0,31,123
540,Ratchet & Clank: Going Commando,PS2,23,Platform,Sony Computer Entertainment,134,82,25,25,101
532,Dragon Quest V: Tenkuu no Hanayome,SNES,12,Role-Playing,Enix Corporation,0,0,181,1,102
619,LEGO Harry Potter: Years 1-4,Wii,30,Action,Warner Bros. Interactive Entertainment,119,96,0,23,73
696,Tomb Raider II,PC,17,Action,Eidos Interactive,81,124,0,13,53
928,The Legend of Dragoon,PS,19,Role-Playing,Sony Computer Entertainment,84,43,37,10,10
339,Friend Collection,DS,29,Misc,Nintendo,0,0,198,0,179
52,Grand Theft Auto IV,X360,28,Action,Take-Two Interactive,364,245,14,98,397
508,The Elder Scrolls III: Morrowind,XB,22,Role-Playing,Ubisoft,198,62,3,11,109
517,Madden NFL 10,X360,29,Sports,Electronic Arts,234,9,0,22,106
922,FIFA 2000,PS,18,Sports,Electronic Arts,18,143,4,14,11
783,Mario Sports Mix,Wii,30,Sports,Nintendo,80,44,58,13,35
265,Namco Museum,GBA,21,Misc,Namco Bandai Games,269,110,5,7,222
819,The Incredibles,GBA,24,Action,THQ,105,76,4,10,30
712,Guitar Hero III: Legends of Rock,PS3,27,Misc,Activision,130,53,2,30,50
684,Just Dance Kids,Wii,30,Misc,Ubisoft,147,55,0,19,56
834,SOCOM: U.S. Navy SEALs: Combined Assault,PS2,26,Shooter,Sony Computer Entertainment,164,2,0,28,28
519,WWE SmackDown! vs. Raw,PS2,22,Fighting,THQ,122,107,4,39,106
448,Heavy Rain,PS3,30,Adventure,Sony Computer Entertainment,119,126,6,50,132
19,Super Mario World,SNES,10,Platform,Nintendo,389,263,194,55,429
717,Cool Boarders 2,PS,17,Sports,UEP Systems,142,45,20,8,49
484,Street Fighter IV,X360,29,Fighting,Capcom,171,70,15,26,118
569,Fable,XB,24,Role-Playing,Microsoft Game Studios,188,57,0,9,89
434,Ace Combat 04: Shattered Skies,PS2,21,Simulation,Sony Computer Entertainment Europe,195,55,36,17,137
368,Rugrats in Paris: The Movie,PS,20,Action,THQ,185,131,0,23,166
84,The Sims 3,PC,29,Simulation,Electronic Arts,88,290,0,71,367
62,Call of Duty: Ghosts,X360,33,Shooter,Activision,362,227,4,81,387
639,Ice Hockey,NES,8,Sports,Nintendo,117,32,72,5,66
273,Gran Turismo 5 Prologue,PS3,27,Racing,Sony Computer Entertainment,118,172,53,53,218
286,Street Fighter II Turbo,SNES,12,Fighting,Capcom,132,50,153,7,211
361,Grand Theft Auto: Liberty City Stories,PS2,26,Action,Take-Two Interactive,146,138,7,50,168
355,The Simpsons: Road Rage,PS2,21,Racing,Electronic Arts,191,116,0,42,173
457,The Sims: Vacation,PC,22,Simulation,Electronic Arts,162,120,0,14,128
279,Frogger,PS,17,Action,Hasbro Interactive,307,27,0,11,215
13,Pokemon Gold/Pokemon Silver,GB,19,Role-Playing,Nintendo,377,288,221,71,435
183,Super Mario Bros. 3,GBA,23,Platform,Nintendo,264,124,77,20,281
369,Spyro 2: Ripto's Rage!,PS,19,Platform,Sony Computer Entertainment,203,120,1,17,166
883,Dragon Ball Z: Budokai 3,PS2,24,Fighting,Atari,99,15,60,4,18
616,Mario Party 2,N64,19,Misc,Nintendo,118,14,98,1,74
224,Driver 2,PS,20,Action,Atari,221,196,2,25,252
573,Medal of Honor Heroes,PSP,26,Shooter,Electronic Arts,76,110,1,66,88
972,Kinect Star Wars,X360,32,Action,Microsoft Game Studios,95,56,3,14,2
655,Monopoly,PC,14,Misc,Hasbro Interactive,139,80,0,10,63
546,Mario Paint,SNES,12,Misc,Nintendo,133,53,65,7,98
583,Medal of Honor,X360,30,Shooter,Electronic Arts,145,80,4,21,85
634,Need for Speed Carbon: Own the City,PSP,26,Racing,Electronic Arts,77,97,0,59,68
177,Assassin's Creed II,X360,29,Action,Ubisoft,275,151,8,51,286
667,Half-Life 2,PC,24,Shooter,Vivendi Games,214,2,8,0,61
675,Dragon Warrior Monsters,GB,18,Role-Playing,Eidos Interactive,0,0,163,1,59
586,Style Savvy,DS,28,Simulation,Nintendo,53,83,88,19,84
875,Grand Theft Auto: San Andreas,XB,25,Action,Take-Two Interactive,116,60,0,9,19
394,Crash Bash,PS,20,Misc,Sony Computer Entertainment,146,143,19,17,154
164,Mario Kart: Super Circuit,GBA,21,Racing,Nintendo,243,158,91,23,296
249,Tony Hawk's Pro Skater 3,PS2,21,Sports,Activision,247,128,1,46,232
635,The Sims: Bustin' Out,PS2,23,Simulation,Electronic Arts,97,118,0,18,67
887,Batman: Arkham Origins,X360,33,Action,Warner Bros. Interactive Entertainment,105,60,0,17,17
671,Kinect Sports: Season Two,X360,31,Sports,Microsoft Game Studios,128,73,2,22,60
376,Batman: Arkham Asylum,X360,29,Action,Eidos Interactive,208,96,2,31,164
413,Wii Music,Wii,28,Misc,Nintendo,126,112,43,32,146
75,Mario Party DS,DS,27,Misc,Nintendo,332,177,148,70,374
114,Need for Speed Underground 2,PS2,24,Racing,Electronic Arts,250,242,8,103,340
599,Art Academy,DS,30,Misc,Nintendo,23,161,31,28,80
963,Sly 2: Band of Thieves,PS2,24,Platform,Sony Computer Entertainment,78,68,0,23,5
391,Spider-Man 2,PS2,24,Action,Activision,165,119,2,43,156
105,Need for Speed Underground,PS2,23,Racing,Electronic Arts,286,236,8,97,347
115,Medal of Honor: Frontline,PS2,22,Shooter,Electronic Arts,264,231,17,94,339
418,L.A. Noire,PS3,31,Adventure,Take-Two Interactive,117,131,12,51,143
526,Star Wars: The Force Unleashed,X360,28,Action,LucasArts,164,79,0,26,103
458,Mass Effect 3,X360,32,Role-Playing,Electronic Arts,183,85,3,24,128
410,Assassin's Creed Syndicate,PS4,35,Action,Ubisoft,70,181,6,50,147
93,Star Wars Battlefront (2015),PS4,35,Shooter,Electronic Arts,264,250,22,111,358
932,NBA Live 2002,PS2,21,Sports,Electronic Arts,81,70,0,24,10
90,Pac-Man,2600,2,Puzzle,Atari,371,44,0,8,361
337,Battlefield 4,PS3,33,Shooter,Electronic Arts,120,146,26,61,180
990,WWF Attitude,PS,18,Fighting,Acclaim Entertainment,117,41,0,7,0
923,Dynasty Warriors 3,PS2,21,Action,THQ,43,16,97,10,11
935,GoldenEye 007 (2010),Wii,30,Action,Activision,75,70,13,16,10
606,Deca Sports,Wii,28,Sports,Konami Digital Entertainment,103,86,28,25,78
594,Killzone: Shadow Fall,PS4,33,Shooter,Sony Computer Entertainment,79,131,7,28,81
612,Dragon Warrior,NES,6,Role-Playing,Capcom,39,0,48,123,76
95,The Legend of Zelda: Ocarina of Time,N64,18,Action,Nintendo,320,178,124,16,357
12,Mario Kart DS,DS,25,Racing,Nintendo,385,292,205,135,436
397,The Legend of Zelda: Spirit Tracks,DS,29,Action,Nintendo,133,93,68,27,153
534,Battlefield 3,PC,31,Shooter,Electronic Arts,79,141,0,48,102
44,Halo 3,X360,27,Shooter,Microsoft Game Studios,372,236,13,110,405
43,Mario Kart 7,3DS,31,Racing,Nintendo,335,267,177,88,406
330,Super Paper Mario,Wii,27,Platform,Nintendo,187,87,55,32,185
168,Crash Bandicoot: The Wrath of Cortex,PS2,21,Platform,Universal Interactive,196,210,23,81,292
498,World Soccer Winning Eleven 7 International,PS2,23,Sports,Konami Digital Entertainment,6,123,103,45,113
878,Def Jam Vendetta,PS2,23,Fighting,Electronic Arts,85,73,0,25,18
598,Ratchet & Clank: Up Your Arsenal,PS2,24,Platform,Sony Computer Entertainment,121,73,30,22,80
758,Your Shape featuring Jenny McCarthy,Wii,29,Sports,Ubisoft,141,46,0,18,40
101,The Legend of Zelda: Twilight Princess,Wii,26,Action,Nintendo,310,202,56,70,351
427,Dragon Quest VI: Maboroshi no Daichi,SNES,15,Role-Playing,Enix Corporation,0,0,191,0,139
179,Tomb Raider II,PS,17,Action,Eidos Interactive,216,220,20,28,284
445,Personal Trainer: Cooking,DS,26,Misc,Nintendo,81,99,93,17,132
417,FIFA 16,XOne,35,Sports,Electronic Arts,78,197,0,23,143
872,Tom Clancy's Rainbow Six: Vegas,X360,26,Shooter,Ubisoft,99,64,2,20,20
884,Jet Moto 2,PS,17,Racing,Sony Computer Entertainment,131,41,3,7,18
682,The Legend of Zelda: Majora's Mask 3D,3DS,35,Action,Nintendo,104,53,44,17,56
178,Professor Layton and the Curious Village,DS,27,Puzzle,Nintendo,112,222,93,52,285
396,Metal Gear Solid V: The Phantom Pain,PS4,35,Action,Konami Digital Entertainment,98,133,45,47,153
913,Yokai Watch,3DS,33,Role-Playing,Nintendo,17,30,115,4,13
795,Finding Nemo,PS2,23,Action,THQ,116,59,5,18,33
962,Virtua Fighter 4,PS2,22,Fighting,Sega,68,43,52,4,5
686,Grand Theft Auto,PS,17,Action,Take-Two Interactive,69,133,4,14,56
384,Monster Hunter 4,3DS,33,Role-Playing,Capcom,0,0,193,0,159
958,Dragon Quest VI: Realms of Revelation,DS,30,Role-Playing,Nintendo,18,21,117,3,5
753,Mario & Luigi: Superstar Saga,GBA,23,Role-Playing,Nintendo,138,17,44,6,41
258,Call of Duty: Advanced Warfare,X360,34,Shooter,Activision,253,117,0,37,225
539,inFAMOUS: Second Son,PS4,34,Action,Sony Computer Entertainment,117,96,7,47,101
336,Pokémon Trading Card Game,GB,18,Strategy,Nintendo,139,72,119,10,181
16,Kinect Adventures!,X360,30,Misc,Microsoft Game Studios,392,277,23,126,432
325,LEGO Indiana Jones: The Original Adventures,X360,28,Action,Activision,224,102,0,36,187
760,Tom Clancy's Rainbow Six: Siege,PS4,35,Shooter,Ubisoft,44,115,13,32,39
223,Batman: Arkham City,X360,31,Action,Warner Bros. Interactive Entertainment,268,130,4,41,253
180,Madden NFL 2004,PS2,37,Sports,Electronic Arts,327,26,1,71,283
985,Final Fantasy II,SNES,11,Role-Playing,Square,20,9,115,12,1
23,Super Mario Bros. 3,NES,8,Platform,Nintendo,382,255,202,46,425
357,Luigi's Mansion,GC,21,Action,Nintendo,222,66,43,10,172
668,The Incredibles,PS2,24,Action,THQ,86,107,4,30,61
863,Call of Duty: World at War,Wii,28,Shooter,Activision,110,58,0,19,21
341,Midnight Club 3: DUB Edition,PSP,25,Racing,Take-Two Interactive,155,121,0,79,178
432,LEGO Batman: The Videogame,Wii,37,Action,Warner Bros. Interactive Entertainment,175,101,0,29,137
552,The Legend of Zelda: A Link to the Past,GBA,22,Action,Nintendo,165,51,31,10,93
835,Peter Jackson's King Kong: The Official Game of the Movie,PS2,25,Action,Ubisoft,61,101,0,31,28
204,Super Smash Bros. for Wii U and 3DS,WiiU,34,Fighting,Nintendo,241,105,74,57,269
631,Final Fantasy Tactics,PS,17,Role-Playing,SquareSoft,83,12,116,6,69
94,Call of Duty: Advanced Warfare,PS4,34,Shooter,Activision,257,251,14,117,357
559,Mario vs. Donkey Kong: Mini-Land Mayhem!,DS,30,Puzzle,Nintendo,153,51,33,18,92
